titulo;ano;classificacao;duracao;sinopse;direcao;roteiristas;artistas;nota
Spider-Man No Way Home;2021;PG-13;2h 28m;With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.;Jon Watts;Chris McKenna, Erik Sommers, Stan Lee;Tom Holland, Zendaya, Benedict Cumberbatch;8.2
Finding Nemo;2003;G;1h 40m;After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.;Andrew Stanton, Lee Unkrich;Andrew Stanton, Bob Peterson, David Reynolds;Albert Brooks, Ellen DeGeneres, Alexander Gould;8.2
The Thing;1982;16+;1h 49m;A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.;John Carpenter;Bill Lancaster, John W. Campbell Jr.;Kurt Russell, Wilford Brimley, Keith David;8.2
Chinatown;1974;R;2h 10m;A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.;Roman Polanski;Robert Towne, Roman Polanski;Jack Nicholson, Faye Dunaway, John Huston;8.2
The Elephant Man;1980;PG;2h 4m;A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.;David Lynch;Christopher De Vore, Eric Bergren, David Lynch;Anthony Hopkins, John Hurt, Anne Bancroft;8.2
Rashomon;1950;Not Rated;1h 28m;The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.;Akira Kurosawa;Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto;Toshirô Mifune, Machiko Kyô, Masayuki Mori;8.2
Raging Bull;1980;R;2h 9m;The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.;Martin Scorsese;Jake LaMotta, Joseph Carter, Peter Savage;Robert De Niro, Cathy Moriarty, Joe Pesci;8.1
The Great Escape;1963;Approved;2h 52m;Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.;John Sturges;Paul Brickhill, James Clavell, W.R. Burnett;Steve McQueen, James Garner, Richard Attenborough;8.2
Kill Bill Vol. 1;2003;R;1h 51m;After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.;Quentin Tarantino;Quentin Tarantino, Uma Thurman;Uma Thurman, David Carradine, Daryl Hannah;8.2
The Treasure of the Sierra Madre;1948;Passed;2h 6m;Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.;John Huston;John Huston, B. Traven;Humphrey Bogart, Walter Huston, Tim Holt;8.2
No Country for Old Men;2007;R;2h 2m;Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.;Ethan Coen, Joel Coen;Joel Coen, Ethan Coen, Cormac McCarthy;Tommy Lee Jones, Javier Bardem, Josh Brolin;8.2
Jurassic Park;1993;PG-13;2h 7m;A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.;Steven Spielberg;Michael Crichton, David Koepp;Sam Neill, Laura Dern, Jeff Goldblum;8.2
